useParallel,fileNum,deviceNum,sensorNum,ptNum,dataType,encoding,deviceSelectRatio,sensorSelectRatio,timeSelectRatio,queryNum,writeTime,readTime
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,25390,8920
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,23580,7670
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,23000,7490
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,22970,8740
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,23160,7720
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,22190,7530
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,22520,7810
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,23590,7590
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,23190,8120
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,23600,7800
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,23270,7510
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,22980,7370
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,23090,7280
false,1,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,176261,15920
false,1,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,172310,16170
