useParallel,fileNum,deviceNum,sensorNum,ptNum,dataType,encoding,deviceSelectRatio,sensorSelectRatio,timeSelectRatio,queryNum,writeTime,readTime
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,137651,9240
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,133370,9570
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,130870,9290
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,131240,8410
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,130900,8760
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,128813,8720
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,128040,8380
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,128800,8270
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,131700,8670
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,131700,8450
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,130800,8230
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,129880,8210
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,125630,8210
false,1,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,270710,15720
false,1,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,936584,15720
true,1,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,235268,15400
true,2,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,85607,6930
true,3,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,72050,6890
true,4,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,64720,6870
true,5,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,70100,7560
true,6,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,78560,8340
true,7,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,80970,8750
